CASEID,DefendantsolicitorEmailRA
1789741767243227,pcs-solicitor624@test.com
1789741767489895,pcs-solicitor625@test.com
1789741768108247,pcs-solicitor626@test.com
1789741768751210,pcs-solicitor628@test.com
1789741767871522,pcs-solicitor630@test.com
1789741767880523,pcs-solicitor631@test.com
1789741770962169,pcs-solicitor634@test.com
1789741769096391,pcs-solicitor637@test.com
1789741770951873,pcs-solicitor638@test.com
1789741769071279,pcs-solicitor641@test.com
1789741769815501,pcs-solicitor648@test.com
1789741769388632,pcs-solicitor624@test.com
1789741770905960,pcs-solicitor625@test.com
1789741769142435,pcs-solicitor626@test.com
1789741768401238,pcs-solicitor628@test.com
1789741771487315,pcs-solicitor630@test.com
1789741770165052,pcs-solicitor631@test.com
1789741769053467,pcs-solicitor634@test.com
1789741769399449,pcs-solicitor637@test.com
1789741769391941,pcs-solicitor638@test.com
1789741769324272,pcs-solicitor641@test.com
1789741770180887,pcs-solicitor648@test.com
1789741769203385,pcs-solicitor624@test.com
1789741768121190,pcs-solicitor625@test.com
1789741769178777,pcs-solicitor626@test.com
1789741769030275,pcs-solicitor628@test.com
1789741769343983,pcs-solicitor630@test.com
1789741769059472,pcs-solicitor631@test.com
1789741768283206,pcs-solicitor634@test.com
1789741770999971,pcs-solicitor637@test.com
1789741768331781,pcs-solicitor638@test.com
1789741769012299,pcs-solicitor641@test.com
1789741768897906,pcs-solicitor648@test.com
1789741768886743,pcs-solicitor624@test.com
1789742026306185,pcs-solicitor625@test.com
1789742177871813,pcs-solicitor626@test.com
1789742178528461,pcs-solicitor628@test.com
1789742180249759,pcs-solicitor630@test.com
1789742198757827,pcs-solicitor631@test.com
1789742196931408,pcs-solicitor634@test.com
1789742218963256,pcs-solicitor637@test.com
1789742235253905,pcs-solicitor638@test.com
1789742236173540,pcs-solicitor641@test.com
1789742236122117,pcs-solicitor648@test.com
1789742240029142,pcs-solicitor624@test.com
1789742246329421,pcs-solicitor625@test.com
1789742245651205,pcs-solicitor626@test.com
1789742245865243,pcs-solicitor628@test.com
1789742249382278,pcs-solicitor630@test.com
1789742262830591,pcs-solicitor631@test.com
1789742269062503,pcs-solicitor634@test.com
1789742268271584,pcs-solicitor637@test.com
1789742268846872,pcs-solicitor638@test.com
1789742273505513,pcs-solicitor641@test.com
1789742270247507,pcs-solicitor648@test.com
1789744271373092,pcs-solicitor624@test.com
1789744287397036,pcs-solicitor625@test.com
1789744291004057,pcs-solicitor626@test.com
1789744294242191,pcs-solicitor628@test.com
1789744290761657,pcs-solicitor630@test.com
1789744303624876,pcs-solicitor631@test.com
1789744300135199,pcs-solicitor634@test.com
1789744307754414,pcs-solicitor637@test.com
1789744313373159,pcs-solicitor638@test.com
1789744318034335,pcs-solicitor641@test.com
1789744315653749,pcs-solicitor648@test.com
1789744317414595,pcs-solicitor624@test.com
1789744319200372,pcs-solicitor625@test.com
1789744321348151,pcs-solicitor626@test.com
1789744321278440,pcs-solicitor628@test.com
1789744325937207,pcs-solicitor630@test.com
1789744321346874,pcs-solicitor631@test.com
1789744325975827,pcs-solicitor634@test.com
1789744324443678,pcs-solicitor637@test.com
1789744328535867,pcs-solicitor638@test.com
1789744328153919,pcs-solicitor641@test.com
1789744333514428,pcs-solicitor648@test.com
1789744334444021,pcs-solicitor624@test.com
1789744326344908,pcs-solicitor625@test.com
1789744337030876,pcs-solicitor626@test.com
1789744332254869,pcs-solicitor628@test.com
1789744335668529,pcs-solicitor630@test.com
1789744335060859,pcs-solicitor631@test.com
1789744336559081,pcs-solicitor634@test.com
1789744341573572,pcs-solicitor637@test.com
1789744335720270,pcs-solicitor638@test.com
1789744336482656,pcs-solicitor641@test.com
1789744329970576,pcs-solicitor648@test.com
1789744335970487,pcs-solicitor624@test.com
1789744749871974,pcs-solicitor625@test.com
1789749595702611,pcs-solicitor626@test.com
1789749595856888,pcs-solicitor628@test.com
1789749595879641,pcs-solicitor630@test.com
1789749597863056,pcs-solicitor631@test.com
1789749596029824,pcs-solicitor634@test.com
1789749596494887,pcs-solicitor637@test.com
1789749596240413,pcs-solicitor638@test.com
1789749596893245,pcs-solicitor641@test.com
1789749596983509,pcs-solicitor648@test.com
1789749596406006,pcs-solicitor624@test.com
